Назва,Номер реєстраційної справи,Дата публікації,Назва підприємства,Статус,Область,КОАТУУ,Суб’єкт господарювання,Назва справи:,Опис планованої діяльності:,Дата слухання,Період слухання,Перевіряючий орган,Юридична адреса суб’єкта господарювання:,"Область, де планується діяльність",Завантажені документи,Отримані документи,Категорія,Деталі категорії,Кількість категорій,lat,lon
"Планована діяльність – ""Видобування підземних вод на водозаборі ФГ  ""Кегичівське"" у смт. Кулиничі Харківського району Харківської області"".",201811302282,2018-11-30,,Оприлюдненно,Харківська область,Харківська обл.,Скріпнік Ірина Валентинівна,"Планована діяльність – ""Видобування підземних вод на водозаборі ФГ  ""Кегичівське"" у смт. Кулиничі Харківського району Харківської області"".","Водозабір ФГ ""Кегичівське"" складається з однієї свердловини, яка розташована в межах земельної ділянки загальною площею 8,52 га.",,,УТО,"62404, Харківська обл., Харківский р-н, смт. Кулінічі, вул. Грищенко 
(Шкільна), 17.",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 30 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2282/reports/aea3503b00d762ff4dacd2a3500d81e0.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 5 березня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2282/reports/513d08d33494feef1aa4b7ad8282139b.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 5 березня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2282/reports/32ed544d6b6118e9d7e9b60574026f9a.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 29 грудня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2282/reports/1b963f67c24a21ccb9bbb4de754e7cab.pdf'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 12 квітня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2282/reports/a0705aeed3e043fba1d509d3b58ed3ce.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 12 квітня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2282/reports/dd0a15cc089bd938dcdbf4969fe79e6d.pdf'}]",,,0,49.99178901985564,36.38394389071232
Модернізація систем теплопостачання м. Лозова Харківської області,201811282262,2018-11-28,,Оприлюдненно,Харківська область,Лозова,Березуцький Володимир Іванович,Модернізація систем теплопостачання м. Лозова Харківської області,"Будівництво 6 нових, повністю автоматизованних, місцевих котелень  загальної потужністю 65,105 МВт.",,,УЦО,"64602 Харківська область, м. Лозова, вул. Ломоносова, 23",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 28 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2262/reports/ca4858af288c372e93ca870e22eabbd0.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 22 січня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2262/reports/5734ea36db8d2dff0781e732c028d396.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 22 січня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2262/reports/a6554c131367940471504185dfba2638.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 9 січня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2262/reports/7edb7330c315ad81f27508920bc466c0.pdf'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 20 березня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2262/reports/5f59202da2843056fa9a922c6570c94e.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 20 березня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2262/reports/d392394da3e09f22800b50bd0449399a.pdf'}]",,,0,49.34190462532543,36.7021484375
"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",201811262242,2018-11-28,,Оприлюдненно,Харківська область,Сільради Чугуївського р-ну,Сердюченко Олексій Володимирович,"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",Спорудження свердловин,,,УТО,"64250, вул. Стадіонна, 9, смт. Донець, Балаклійський район, Харківська область",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 28 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2242/reports/4d0f6d64f550086adbf373f238411793.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 5 червня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2242/reports/8dc537b3618d3cc6497c7844f75dda4a.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 5 червня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2242/reports/3755afd65ec5f40fa519348e64f3619b.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 28 грудня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2242/reports/08b7c44f86e60f41e6027fa24b7a6182.jpeg'}, {'Назва документа': '2. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 12 серпня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2242/reports/eee2377c85bcf1d6b3eea72f9d3bb058.pdf'}, {'Назва документа': '3. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 12 серпня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2242/reports/413f06994d19808f8c417bd2e08111e8.pdf'}]",,,0,49.82211643211474,36.78017655513736
"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",201811262241,2018-11-28,,Оприлюдненно,Харківська область,Сільради Шевченківського р-ну,Сердюченко Олексій Володимирович,"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",Спорудження свердловин,,,УТО,"64250, вул. Стадіонна, 9, смт. Донець, Балаклійський район, Харківська область",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 28 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2241/reports/e6a4f05553490c3bd58aabb0217bbffd.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 23 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2241/reports/d34f4ad4ec0fdbb90b98ddfb874ac750.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 23 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2241/reports/47ecd88672ce4bf742774c97590526d3.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 28 грудня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2241/reports/46813e8900462e2e7dbc17c249ef2aea.jpeg'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 1 жовтня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2241/reports/c08b4ec71397f014ae37096dc12dba88.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 1 жовтня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2241/reports/8c84f1a77e1ec9012d4ab001072e2fc0.pdf'}]",,,0,49.70083864197842,37.21726254024179
"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",20181192123,2018-11-13,,Оприлюдненно,Харківська область,Сільради Шевченківського р-ну,Сердюченко Олексій Володимирович,"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",Спорудження свердловин,,,УТО,"64250, вул. Стадіонна, 9, смт. Донець, Балаклійський район, Харківська область",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 13 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2123/reports/07a34e2aa2bb06612a5caad41f3f084c.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 11 грудня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2123/reports/2b76ea0d53f6fdcb0e04c1a6f79ec5a0.pdf'}]",,,0,49.71316388033614,37.330020180060274
"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",20181192122,2018-11-13,,Оприлюдненно,Харківська область,Сільради Зміївського р-ну,Сердюченко Олексій Володимирович,"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",Спорудження свердловин,,,УТО,"64250, вул. Стадіонна, 9, смт. Донець, Балаклійський район, Харківська область",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 13 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2122/reports/94b5b1b5adae89c7798a5e1ed6b1ba47.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 11 грудня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2122/reports/17a0d23fdab1ea5e10fa86378f9ab671.pdf'}]",,,0,49.64231459955777,36.17161853070979
"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",20181192121,2018-11-13,,Оприлюдненно,Харківська область,Сільради Зачепилівського р-ну,Сердюченко Олексій Володимирович,"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",Спорудження свердловин,,,УТО,"64250, вул. Стадіонна, 9, смт. Донець, Балаклійський район, Харківська область",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 13 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2121/reports/512b8e1ce50f6adde2653e04594e926a.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 11 червня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2121/reports/327aff8f49da35f2508ff91f83c5db3e.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 11 червня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2121/reports/c48050bf3a63e44fea79b3b2a5b2dcb4.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 11 грудня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2121/reports/cfde5731fc214a76724f47c6e188741e.pdf'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 20 серпня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2121/reports/8ed143b1221abd1ddee54b376b3fb62e.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 20 серпня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2121/reports/a0302de30f0e3403cd372372b512b798.pdf'}]",,,0,49.21433889801363,35.244788032419706
"АТ ""Укргазвидобування"" філія ГПУ ""Шебелинкагазвидобування""",20181192120,2018-11-13,,Оприлюдненно,Харківська область,Сільради Балаклійського р-ну,Сердюченко Олексій Володимирович,"АТ ""Укргазвидобування"" філія ГПУ ""Шебелинкагазвидобування""",Спорудження свердловин,,,УТО,"64250, вул. Стадіонна, 9, смт. Донець, Балаклійський район, Харківська область",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 13 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2120/reports/0f381063c0a81c4806b779dd5594ac2c.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 10 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2120/reports/d026da58c98bd7edf23ba1b111df6703.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 10 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2120/reports/af6bfacf8eb86bc5d54abe78645d2a49.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 11 грудня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2120/reports/023b943a01ad77f5f13052c1c53deb53.pdf'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 16 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2120/reports/48eeedaf6e0f1ff7bc32d5baa4598a26.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 16 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2120/reports/b5ad5a639b4ae25857a34399c7a4ac5c.pdf'}]",,,0,49.46458554160833,37.07971646473732
"АТ ""Укргазвидобування"" філія ГПУ ""Шебелинкагазвидобування""",20181192119,2018-11-13,,Оприлюдненно,Харківська область,Сільради Лозівського р-ну,Сердюченко Олексій Володимирович,"АТ ""Укргазвидобування"" філія ГПУ ""Шебелинкагазвидобування""",Спорудження свердловин,,,УТО,"64250, вул. Стадіонна, 9, смт. Донець, Балаклійський район, Харківська область",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 13 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2119/reports/c3ba6ab8e322ef1ac72092d830af56ad.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 14 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2119/reports/ebe8940afcc88c7b5d0aa8dbdcc8a2a1.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 14 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2119/reports/89eba2938c4a04d6526fb25070ef86d4.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 11 грудня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2119/reports/81d68c9822a0a3fbfcae3e62feb40d16.pdf'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 22 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2119/reports/ff4d2d1e88074302f7aee1701a4036ed.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 22 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2119/reports/6af1b9eb3c426ae55e528e8c0da3dac8.pdf'}]",,,0,49.15128395593714,36.3432690437337
"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",20181192117,2018-11-13,,Оприлюдненно,Харківська область,Сільради Красноградського р-ну,Сердюченко Олексій Володимирович,"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",Спорудження свердловин.,,,УТО,"64250, вул. Стадіонна, 9, смт. Донець, Балаклійський район, Харківська область",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 13 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2117/reports/85e379812021a800680a8b0608adfeaa.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 27 березня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2117/reports/cfb80dd3174d29af5859d8c65db240ff.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 27 березня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2117/reports/0e739ab3cb3d907901d1bc96e661cf43.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 11 грудня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2117/reports/2bf1f2d1519d3ea9a577a530dd4a51f4.pdf'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 7 червня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2117/reports/be4a7f7d34c6d103e590725bfc721282.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 7 червня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2117/reports/bbbdadd5b6b2df5c018fe29965ec6cf5.pdf'}]",,,0,49.37482455067907,35.58687951016452
"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",20181192116,2018-11-19,,Оприлюдненно,Харківська область,Сільради Красноградського р-ну,Сердюченко Олексій Володимирович,"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",Спорудження свердловин.,,,УЦО,"64250, вул. Стадіонна, 9, смт. Донець, Балаклійський район, Харківська область",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 19 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2116/reports/16d3339067c14586348d01cd9d762ca2.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 10 січня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2116/reports/743c689bf044b0b4080dce5d188cefcd.pdf'}]",,,0,49.37447664049173,35.59650038043253
"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",20181192115,2018-11-13,,Оприлюдненно,Харківська область,Сільради Куп'янського р-ну,Сердюченко Олексій Володимирович,"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",Спорудження свердловин,,,УТО,"64250, вул. Стадіонна, 9, смт. Донець, Балаклійський район, Харківська область",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 13 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2115/reports/b56f4bab0436c9932423ded9fcec9143.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 2 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2115/reports/853b56d1ac087c1bd454c84b80713344.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 2 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2115/reports/208df7169c61284937c1ce2f0bf79bf5.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 11 грудня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2115/reports/444d175130e0277f60d9eaf30ace23f2.pdf'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 21 серпня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2115/reports/6866dbb31fcf304184520d1c75a39ba5.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 21 серпня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2115/reports/90ed1885c3c65a2eb50d8d406a31643f.pdf'}]",,,0,49.65607797753732,37.70619759673434
"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",20181192114,2018-11-13,,Оприлюдненно,Харківська область,Старовірівська/с.Старовірівка,Сердюченко Олексій Володимирович,"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",Спорудження свердловин,,,УТО,"64250, вул. Стадіонна, 9, смт. Донець, Балаклійський район, Харківська область",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 13 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2114/reports/703c99804f388ff7b7c13cc82bfab187.pdf'}, {'Назва документа': '2. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 16 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2114/reports/0352e99a9ad9f8ade1c6cc9c416337ab.pdf'}, {'Назва документа': '3. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 16 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2114/reports/e2512db6b61b77dab58c978be2c2a210.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 11 грудня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2114/reports/7679f3ab3a970032f85dde88ef8d8174.pdf'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 29 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2114/reports/c58356216e731833f29ad7b42b078e29.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 29 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2114/reports/19bbf1ed2ac1cc4c5910b7e85fec0934.pdf'}]",,,0,49.53751626246566,35.74359255427623
"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",20181192113,2018-11-13,,Оприлюдненно,Харківська область,Сільради Чугуївського р-ну,Сердюченко Олексій Володимирович,"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",Спорудження свердловин,,,УТО,"64250, вул. Стадіонна, 9, смт. Донець, Балаклійський район, Харківська область",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 13 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2113/reports/adbc6346c91c9f3753dfa377627fbad5.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 11 грудня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2113/reports/f29bd4ae185a0458386644ef6f7f61ce.pdf'}]",,,0,49.724021929561026,36.87669765032069
"Реконструкція на території діючого підприємства ТОВ «Краснокутський агрошляхбуд», с. Сонцедарівка, Краснокутського району Харківської області» .",20181162095,2018-11-07,,Оприлюдненно,Харківська область,Сонцедарівка,,"Реконструкція на території діючого підприємства ТОВ «Краснокутський агрошляхбуд», с. Сонцедарівка, Краснокутського району Харківської області» .",Планована діяльність передбачає: Реконструкцію комплексу з виробництва органічних розчинників та антикорозійних засобів. Проектом реконструкції передбачено розміщення технологічного обладнання для виробництва,,,УТО,"62052 Харківська область, Краснокутський район, с. Сонцедарівка, вул. Хімічна, 2",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 7 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2095/reports/6c223cd87564ad283f3bf50709e8485c.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 4 грудня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2095/reports/7523ff116d1c6112c7406bda2c635176.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 4 грудня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2095/reports/89dbebf7cc4d8a9537c98367c01c1e91.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 5 грудня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2095/reports/f54c91ace1db05be4575136615b86718.jpeg'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 16 січня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2095/reports/1a02048df9db0417919821f7ea209f06.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 16 січня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/2095/reports/0e054cf3f177e44565dad409f50b19e0.pdf'}]",,,0,,
